reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
12c14f09-6cfb-4324-a573-559144c22707,Stella Silfvast,https://play-lh.googleusercontent.com/a-/ALV-UjXAren1UUya-PskV5UwHBFGaKgMkxWt0sibXoThUxLqmKDqUdQ,it realli good,5,0,2.24.21.79,2024-11-03 22:23:15,,,2.24.21.79
04a10c66-97bc-4ed9-891e-af1e75ad5dfd,Andrew Cole,https://play-lh.googleusercontent.com/a-/ALV-UjUHmbe3hx4VKRhdAmuZGGdR4HDHL8lsFLY9BMycZpR6FHcPewoh,ape freez everi singl time receiv messag clear ape cacheuninstal reinstal apprestart phone sever time still samewhi,1,0,2.24.21.79,2024-11-03 22:22:40,,,2.24.21.79
ecd7e599-701a-4796-aaeb-f5937729c2d2,Jagseer Singh,https://play-lh.googleusercontent.com/a-/ALV-UjWkaeNbFeccE5PiimBYe5X9YQqObCcWnL-e-djnLg8N_CjweOh4,veri good friend,4,0,2.24.21.79,2024-11-03 22:22:40,,,2.24.21.79
309dbf92-7491-428c-acee-97b8bd878850,Slap'o Sonix,https://play-lh.googleusercontent.com/a/ACg8ocLwSaNuvyfq6w_ojM-vJBDI59hQBxZgv0TleHdVKlp1FN_Xfg=mo,cant use say need offici happi offici ape download ape store wrong thing,1,0,,2024-11-03 22:22:07,,,
e65250b0-b5a6-4a39-a17c-fa6c40942a7a,Jinnat Sk,https://play-lh.googleusercontent.com/a/ACg8ocIH1nKkKS-kmaeGMo-uloYtqbID40FjxKPID2UCycP2lwRcbA=mo,urban whatsapp number,5,0,,2024-11-03 22:19:43,,,
bd64e93b-4740-486e-bfb4-9dbe587da221,Elizabeth Nambewe Maziya,https://play-lh.googleusercontent.com/a/ACg8ocL5KStp8Jmwm3DGZyI6dhPQwc1iXFzB5FzCWFJQDJLVo5VTGQ=mo,descript ape pictur could move delet,1,0,,2024-11-03 22:18:40,,,
59c2b5ce-eccb-4d0c-ad00-7e62b251b3de,Divine agboli,https://play-lh.googleusercontent.com/a-/ALV-UjUKOK5ZGOtPbAxgSaUt6IVODo-kgqRs1UfDXWjH56tjWN_b4nY,love use whatsapp best,4,0,2.24.16.76,2024-11-03 22:17:52,,,2.24.16.76
6912f11b-01ab-48d9-9417-b94b2da21e24,adamu alhajibaba,https://play-lh.googleusercontent.com/a/ACg8ocL2WdxNLgD1sLW3XnZ6Xyej6Tt9Sh169ILKlb3_ic5G1bwoPA=mo,mine yet verifi show need offici whatsapp login ism yet figur problem,1,0,,2024-11-03 22:16:50,,,
88d10a49-cbda-4f45-ac36-3899a2d1fef4,Jitendra Valivadekar,https://play-lh.googleusercontent.com/a-/ALV-UjXw0bmmdwIg9YTtp_NxOu2u8odLepD_sD81etns81L9mPwKVoC7,one video spilt use way,5,0,2.24.21.79,2024-11-03 22:16:09,,,2.24.21.79
524f6430-3b9c-47e8-8010-b5eb048eeb91,Tanatswa Mudavanhu,https://play-lh.googleusercontent.com/a/ACg8ocKbhDNDyBHgU3pX56EyxUJHaTjBtSO9AzMFyolvx_VCfVJtNA=mo,love much,1,0,,2024-11-03 22:14:13,,,
120e6b9a-e0ef-4000-9e22-3c53f726d6b5,AISHA IBRAHIM,https://play-lh.googleusercontent.com/a/ACg8ocLYEjK7yRlwcRxoj8g6bGl9EZr35XNZS-kXPJOCd3sYpuKSfQ=mo,want use,5,0,2.24.21.79,2024-11-03 22:14:12,,,2.24.21.79
dd60d15e-b72c-4e89-b8fa-464de8c74ac7,Ruth Butichi,https://play-lh.googleusercontent.com/a-/ALV-UjWAStlnA9L_cOWLg8LAGtiISbf1C2kYBmUoXe3qhvIHUehK2k47,whi updat everytim,1,0,2.24.20.89,2024-11-03 22:13:59,,,2.24.20.89
802c0f55-3070-4bb9-b217-cd3ac98552f9,Deepak Pandey,https://play-lh.googleusercontent.com/a-/ALV-UjWf4AYYcW-1-XFbzTBFqG1wisxYtm0YgeKI5oHisWGJ56R0fXvzrg,it current go perfect,1,0,2.24.21.79,2024-11-03 22:13:25,,,2.24.21.79
97b2abc1-92ad-4b47-a5f5-68ce025c1374,Shubham Sirsat,https://play-lh.googleusercontent.com/a/ACg8ocIqIZmM1LiSUiciUzhqGvxvDx-o0b6a-J0uizK8sJJyE_58rQ=mo,veri nice ape,5,0,,2024-11-03 22:12:28,,,
6f70c683-ec31-4940-8ae1-e07765590ce2,Odukale Joseph,https://play-lh.googleusercontent.com/a/ACg8ocI_J8b2Ln0xCXlF5GX76MYVtKxfo3oVuKaT0m0VEJ32zElRkA=mo,much love ape reliabl,5,0,2.24.15.78,2024-11-03 22:11:36,,,2.24.15.78
9dccd00c-153e-46b9-b529-d731752b9611,Amaechina,https://play-lh.googleusercontent.com/a/ACg8ocIfurCoeDrBsRQkwA0D1IbNMUupGKVXbWKbYA1f6y5SvGsOug=mo,wonder one,5,0,,2024-11-03 22:09:42,,,
3a93fac9-4f4d-4557-b6a6-91feadbbad60,Shedrack Philip,https://play-lh.googleusercontent.com/a-/ALV-UjVMveBXo0_GFxpLxWAGG-9qwH5tujQ0ZyYB5BlPq0d19mTODIW1,thi one favorit happi alway fast fantast use,5,0,2.24.16.76,2024-11-03 22:08:24,,,2.24.16.76
255fd4a0-74c2-42cb-92f1-afbd4c75b991,Segun lions,https://play-lh.googleusercontent.com/a-/ALV-UjWvi3KLGnDOFseCxO_hCDt81tj3K_me5iOP36AhBxlRMY3stDqE,pleas cant log whatsapp happen,2,0,2.24.21.79,2024-11-03 22:06:04,,,2.24.21.79
b7d186e8-70f6-4ed6-8f97-28ff1857bdf4,Madhav Krishan,https://play-lh.googleusercontent.com/a/ACg8ocLJm2xSFI0JnjimJecZTXrSLYzyvz69kDm_yUUPLtBITb1Keg=mo,doesnt chat lock,2,0,2.24.20.89,2024-11-03 22:05:06,,,2.24.20.89
e9db3b81-4b4e-4e03-82ef-57996aca61f9,Vida Akosua,https://play-lh.googleusercontent.com/a/ACg8ocJUBISclEN9PYAedyg87kVFltiSq3V7OfFqfV_wvAh4SgB9qg=mo,use video call chat send messag ape,5,0,2.24.15.78,2024-11-03 22:04:37,,,2.24.15.78
7ba1163f-d08a-47f2-9ad7-021dac26cbc1,Samuel Lebrasse,https://play-lh.googleusercontent.com/a/ACg8ocIEfSHnNrRn7S6qa1BkO_XGqZE7jnYNcLutw2AGB1b8wgGkkQ=mo,work perfectli love send messag best friend love pro,5,1,2.24.21.79,2024-11-03 22:04:10,,,2.24.21.79
df0815c5-9498-4247-9611-f59f1d822ae4,Salona,https://play-lh.googleusercontent.com/a/ACg8ocJeG3PPs7gqwe35pkRHaZZ6yiL-X53s_7QEK1_la9sQtIGN8w=mo,old whatsapp raver,5,0,,2024-11-03 22:03:06,,,
55d55740-3f01-4bc1-86f4-7c849b365c4b,Saleh Abdullah,https://play-lh.googleusercontent.com/a/ACg8ocLKkJ2dO3TtbwXVwbWzPaiNXX4J93fzyLKXsveyVQIGRfByzw=mo,veri great,4,0,,2024-11-03 22:02:43,,,
813980c6-869c-4290-b63b-2ae0f0eca45e,Zain Syed,https://play-lh.googleusercontent.com/a/ACg8ocLAtIeMIwBDNkgGtyfvNxexciR2aaiPSPE6_b0u-BqXA0qx=mo,not open account,5,0,2.24.21.79,2024-11-03 22:02:14,,,2.24.21.79
